time (Julian Date),adjusted_flux (solar flux unit (SFU))
2432231.2,254.0
2432234.2,228.8
2432236.2,179.0
2432237.2,163.7
2432241.2,164.3
2432242.2,192.8
2432243.2,171.2
2432245.2,233.5
2432250.2,306.1
2432251.2,305.9
2432252.2,321.3
2432253.2,345.4
2432255.2,325.8
2432256.2,303.3
2432257.2,305.2
2432258.2,359.6
2432259.2,267.1
2432260.2,223.1
2432262.2,179.7
2432263.2,157.1
2432264.2,141.0
2432265.2,141.1
2432266.2,149.7
2432267.2,159.1
2432269.2,164.4
2432270.2,160.7
2432271.2,181.7
2432272.2,194.3
2432273.2,199.1
2432274.2,226.8
2432275.2,226.9
2432276.2,258.1
2432277.2,252.2
2432278.2,261.0
2432279.2,302.0
2432280.2,296.6
2432281.2,347.6
2432283.2,458.1
2432284.2,425.0
2432285.2,357.7
2432286.2,336.2
2432287.2,300.0
2432288.2,235.6
2432290.2,169.1
2432293.2,158.1
2432294.2,159.9
2432295.2,155.2
2432297.2,159.2
2432298.2,167.2
2432299.2,189.0
2432300.2,229.5
2432301.2,240.6
2432302.2,300.4
2432304.2,285.4
2432305.2,298.3
2432306.2,296.2
2432307.2,262.7
2432308.2,269.3
2432309.2,276.9
2432311.2,267.1
2432312.2,223.5
2432313.2,240.2
2432314.2,230.6
2432315.2,224.6
2432316.2,226.0
2432318.2,240.3
2432319.2,261.2
2432320.2,195.3
2432321.2,185.9
2432322.2,235.6
2432323.2,239.7
2432325.2,253.5
2432326.2,289.3
2432327.2,336.1
2432328.2,301.0
2432329.2,336.0
2432332.2,307.6
2432333.2,301.5
2432334.2,346.7
2432335.2,335.7
2432336.2,297.4
2432337.2,260.7
2432339.2,260.0
2432340.2,225.5
2432341.2,221.1
2432342.2,221.2
2432343.2,216.8
2432344.2,244.8
2432347.2,246.7
2432348.2,188.3
2432349.2,151.1
2432350.2,175.5
2432351.2,176.4
2432353.2,183.6
2432354.2,215.2
2432355.2,259.1
2432356.2,287.1
2432357.2,279.2
2432358.2,296.5
2432360.2,291.7
2432361.2,266.8
2432362.2,270.4
2432363.2,242.4
2432364.2,227.4
2432365.2,252.7
2432367.2,212.7
2432369.2,201.1
2432370.2,202.8
2432371.2,210.5
2432372.2,204.2
2432374.2,216.7
2432375.2,205.5
2432376.2,201.6
2432377.2,211.3
2432378.2,218.0
2432379.2,211.2
2432381.2,223.6
2432382.2,233.4
2432383.2,268.0
2432384.2,280.0
2432385.2,260.0
2432386.2,262.6
2432388.2,252.3
2432389.2,264.7
2432390.2,245.1
2432391.2,244.1
2432392.2,208.2
2432393.2,208.7
2432395.2,169.1
2432396.2,175.2
2432397.2,181.9
2432398.2,218.6
2432399.2,223.2
2432400.2,238.2
2432402.2,251.7
2432403.2,248.6
2432404.2,260.0
2432405.2,304.5
2432406.2,298.2
2432407.2,316.2
2432409.2,323.5
2432410.2,328.2
2432411.2,302.2
2432412.2,304.2
2432413.2,279.0
2432414.2,234.3
2432416.2,208.2
2432417.2,197.0
2432418.2,179.8
2432419.2,164.7
2432420.2,159.5
2432421.2,155.0
2432423.2,156.6
2432424.2,179.3
2432425.2,190.2
2432426.2,199.7
2432427.2,213.7
2432428.2,248.7
2432431.2,264.1
2432432.2,238.6
2432433.2,235.5
2432434.2,231.0
2432435.2,235.2
2432437.2,233.3
2432438.2,222.5
2432439.2,230.4
2432440.2,187.5
2432441.2,183.5
2432442.2,200.8
2432444.2,169.9
2432445.2,161.1
2432446.2,159.7
2432447.2,161.3
2432448.2,157.8
2432449.2,148.4
2432451.2,157.1
2432452.2,184.8
2432453.2,219.5
2432454.2,219.4
2432455.2,209.2
2432456.2,201.8
2432458.2,205.4
2432459.2,228.7
2432460.2,204.5
2432462.2,249.7
2432463.2,271.7
2432465.2,238.1
2432466.2,243.0
2432467.2,236.3
2432468.2,226.7
2432469.2,212.8
2432470.2,202.2
2432471.2,195.4
2432473.2,159.8
2432474.2,151.3
2432475.2,161.0
2432476.2,167.5
2432477.2,151.0
2432479.2,191.6
2432480.2,191.0
2432481.2,213.5
2432482.2,230.9
2432483.2,237.1
2432484.2,237.0
2432486.2,226.1
